,Brewery,brewery_id,review_overall,latitude,longitude,google_rating
246,Belmont Brewing Company,460,3.42,33.7593014,-118.1482119,4.4
250,Bend Brewing Company,361,3.83,44.0604349,-121.3138513,4.3
253,Benny Brewing Company,24757,4.5,41.22255630000001,-75.94052590000001,4.6
254,Bent River Brewing Company,5443,3.8,41.5074806,-90.5667955,4.7
262,Berryessa Brewing Co,27322,4.25,38.51367339999999,-122.003327,4.9
263,Berwick Brewing Company,16818,4.22,41.051952,-76.237875,4.6
264,Bethlehem Brew Works,1636,3.79,40.62200199999999,-75.38215199999999,4.2
268,BierWerks Brewery,23876,4.25,38.9941465,-105.0519486,4.3
284,Big Al Brewing,18081,3.78,47.5143089,-122.3525048,4.6
285,Big Bear Brewing Company,5489,3.52,26.2535228,-80.25362129999999,4.5
286,Big Bear Mountain Brewery,4916,2.17,34.239085,-116.923673,3.7
287,Big Boss Brewing,15189,3.84,35.8100308,-78.61706459999999,4.6
294,Big Muddy Brewing,21396,3.31,37.7843332,-89.3315914,4.9
304,Birdsong Brewing,27879,3.5,35.230652,-80.82653599999999,4.7
305,Birdsview Brewing Company,15034,3.62,48.5281719,-121.9129795,4.6
359,Bitter Creek Brewing Company,10590,3.79,41.5869554,-109.217864,4.2
360,Bitter End Brewery and Bistro,844,4.03,30.2000418,-97.86794669999999,4.1
361,Bitter Root Brewing,7406,3.84,46.247208,-114.154306,4.6
362,Black Bear Brewery,20873,3.48,34.6935413,-86.748369,4.6
366,Black Forest Brew Haus,2669,3.91,40.7550384,-73.4144251,4
367,Black Fox Brewing,21984,4.0,38.8098644,-104.8257169,0
369,Black Husky Brewing,23018,3.89,43.0709441,-87.9000271,4.7
371,Black Lotus Brewery,13402,3.64,42.5336691,-83.146065,4.3
374,Black Swan Brewpub,24007,4.28,39.6742771,-86.3731626,4
375,Black Tooth Brewing Company,24529,3.25,44.8009273,-106.9537799,4.6
377,Blackfoot River Brewing Company,2253,4.06,46.5863014,-112.0418152,4.8
378,Blacksburg Brewing Company,4111,4.24,37.2152108,-80.4010524,4.7
379,Blacksmith Brewing,18536,4.14,46.511631,-114.0926286,4.8
380,Blackwater Brewing Company,1899,3.23,39.1416533,-79.4983589,4.3
386,Blue Canoe Brewery,18254,4.0,41.6265844,-79.67359549999999,4.4
